step	file	score	n_paths	top_weight	monodromy_phase	wall_crossing	H1_11
112	ainf_export_1778226464.61.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
113	ainf_export_1778226473.32.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
114	ainf_export_1778226482.03.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
115	ainf_export_1778226490.80.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
116	ainf_export_1778226499.45.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
117	ainf_export_1778226508.15.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
118	ainf_export_1778226516.84.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
119	ainf_export_1778226525.51.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
120	ainf_export_1778226534.32.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
121	ainf_export_1778226543.06.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
122	ainf_export_1778226551.74.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
123	ainf_export_1778226560.44.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
124	ainf_export_1778226569.14.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
125	ainf_export_1778226577.79.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
126	ainf_export_1778226586.43.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
127	ainf_export_1778226595.20.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
128	ainf_export_1778226603.86.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
129	ainf_export_1778226612.60.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
130	ainf_export_1778226621.24.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
131	ainf_export_1778226629.92.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
132	ainf_export_1778226638.60.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
133	ainf_export_1778226647.34.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
134	ainf_export_1778226656.16.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
135	ainf_export_1778226664.88.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
136	ainf_export_1778226674.35.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
137	ainf_export_1778226683.64.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
138	ainf_export_1778226692.38.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
139	ainf_export_1778226701.10.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
140	ainf_export_1778226709.84.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
141	ainf_export_1778226718.82.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
142	ainf_export_1778226727.78.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
143	ainf_export_1778226736.76.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
144	ainf_export_1778226745.54.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
145	ainf_export_1778226754.26.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
146	ainf_export_1778226762.94.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
147	ainf_export_1778226771.67.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
148	ainf_export_1778226780.32.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
149	ainf_export_1778226789.03.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
150	ainf_export_1778226797.74.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
151	ainf_export_1778226806.31.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
152	ainf_export_1778226815.08.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
153	ainf_export_1778226823.71.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
154	ainf_export_1778226832.37.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
155	ainf_export_1778226841.09.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
156	ainf_export_1778226849.74.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
157	ainf_export_1778226858.39.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
158	ainf_export_1778226867.12.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
159	ainf_export_1778226875.79.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
160	ainf_export_1778226884.51.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
161	ainf_export_1778226893.31.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
162	ainf_export_1778226901.95.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
163	ainf_export_1778226910.56.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
164	ainf_export_1778226919.19.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
165	ainf_export_1778226927.95.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
166	ainf_export_1778226936.55.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
167	ainf_export_1778226945.15.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
168	ainf_export_1778226953.79.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
169	ainf_export_1778226962.50.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
170	ainf_export_1778226971.25.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
171	ainf_export_1778226979.99.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
172	ainf_export_1778226988.62.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
173	ainf_export_1778226997.23.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
174	ainf_export_1778227005.92.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
175	ainf_export_1778227014.57.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
176	ainf_export_1778227023.22.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
177	ainf_export_1778227031.90.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
178	ainf_export_1778227040.54.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
179	ainf_export_1778227049.13.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
180	ainf_export_1778227057.74.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
181	ainf_export_1778227066.35.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
182	ainf_export_1778227075.18.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
183	ainf_export_1778227083.86.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
184	ainf_export_1778227092.56.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
185	ainf_export_1778227101.39.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
186	ainf_export_1778227110.05.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
187	ainf_export_1778227118.75.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
188	ainf_export_1778227127.34.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
189	ainf_export_1778227135.95.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
190	ainf_export_1778227144.61.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
191	ainf_export_1778227153.27.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
192	ainf_export_1778227162.11.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
193	ainf_export_1778227170.74.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
194	ainf_export_1778227179.41.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
195	ainf_export_1778227188.06.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
196	ainf_export_1778227196.71.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
197	ainf_export_1778227205.60.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
198	ainf_export_1778227214.66.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
199	ainf_export_1778227223.32.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
200	ainf_export_1778227231.92.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
201	ainf_export_1778227240.62.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
202	ainf_export_1778227249.25.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
203	ainf_export_1778227257.96.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
204	ainf_export_1778227266.85.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
205	ainf_export_1778227275.56.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
206	ainf_export_1778227284.14.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
207	ainf_export_1778227292.81.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
208	ainf_export_1778227301.63.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
209	ainf_export_1778227310.36.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
210	ainf_export_1778227319.05.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
211	ainf_export_1778227327.81.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
212	ainf_export_1778227336.54.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
213	ainf_export_1778227345.45.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
214	ainf_export_1778227354.07.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
215	ainf_export_1778227362.72.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
216	ainf_export_1778227371.32.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
217	ainf_export_1778227380.00.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
218	ainf_export_1778227388.73.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
219	ainf_export_1778227397.35.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
220	ainf_export_1778227406.03.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
221	ainf_export_1778227414.65.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
222	ainf_export_1778227423.29.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
223	ainf_export_1778227431.91.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
224	ainf_export_1778227440.58.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
225	ainf_export_1778227449.43.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
226	ainf_export_1778227458.14.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
227	ainf_export_1778227466.78.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
228	ainf_export_1778227475.53.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
229	ainf_export_1778227484.23.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
230	ainf_export_1778227492.89.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
231	ainf_export_1778227501.59.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
232	ainf_export_1778227510.26.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
233	ainf_export_1778227518.97.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
234	ainf_export_1778227527.57.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
235	ainf_export_1778227536.19.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
236	ainf_export_1778227544.84.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
237	ainf_export_1778227553.65.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
238	ainf_export_1778227562.33.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
239	ainf_export_1778227571.24.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
240	ainf_export_1778227579.93.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
241	ainf_export_1778227588.57.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
242	ainf_export_1778227597.23.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
243	ainf_export_1778227605.89.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
244	ainf_export_1778227615.20.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
245	ainf_export_1778227624.29.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
246	ainf_export_1778227632.76.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
247	ainf_export_1778227641.26.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
