step	file	score	n_paths	top_weight	monodromy_phase	wall_crossing	H1_11
125	ainf_export_1779168912.01.json	0.000000	100	4.000163e+00	0.005400	true	0.63568750
126	ainf_export_1779168923.26.json	0.000000	100	4.000297e+00	0.002800	false	1.00000000
127	ainf_export_1779168934.43.json	0.000000	100	4.000257e+00	0.995000	true	1.57310000
128	ainf_export_1779168945.22.json	0.000000	100	4.000467e+00	0.996200	false	1.00000000
129	ainf_export_1779168955.93.json	0.000000	100	4.000416e+00	0.995800	false	1.00000000
130	ainf_export_1779168966.81.json	0.000000	100	4.000719e+00	0.997400	false	1.00000000
131	ainf_export_1779168977.66.json	0.000000	100	4.000611e+00	0.001800	true	0.63568750
132	ainf_export_1779168988.57.json	0.000000	100	4.000220e+00	0.003900	false	1.00000000
133	ainf_export_1779168999.40.json	0.000000	100	4.000077e+00	0.001100	false	1.00000000
134	ainf_export_1779169010.34.json	0.000000	100	4.000065e+00	0.001300	false	1.00000000
135	ainf_export_1779169021.28.json	0.000000	100	4.000122e+00	0.001100	false	1.00000000
136	ainf_export_1779169032.22.json	0.000000	100	4.000226e+00	0.001000	false	1.00000000
137	ainf_export_1779169043.15.json	0.000000	100	4.000403e+00	0.994900	true	1.57310000
138	ainf_export_1779169054.20.json	0.000000	100	4.000358e+00	0.997100	false	1.00000000
139	ainf_export_1779169065.11.json	0.000000	100	4.000323e+00	0.003100	true	0.63568750
140	ainf_export_1779169076.01.json	0.000000	100	4.000277e+00	0.002600	false	1.00000000
141	ainf_export_1779169086.71.json	0.000000	100	4.000240e+00	0.002700	false	1.00000000
142	ainf_export_1779169097.46.json	0.000000	100	4.000415e+00	0.002500	false	1.00000000
143	ainf_export_1779169108.27.json	0.000000	100	4.000744e+00	0.997500	true	1.57310000
144	ainf_export_1779169119.05.json	0.000000	100	4.000307e+00	0.994800	false	1.00000000
145	ainf_export_1779169129.78.json	0.000000	100	4.000127e+00	0.994800	false	1.00000000
146	ainf_export_1779169140.52.json	0.000000	100	4.000048e+00	0.995500	false	1.00000000
147	ainf_export_1779169151.49.json	0.000000	100	4.000040e+00	0.994800	false	1.00000000
148	ainf_export_1779169162.21.json	0.000000	100	4.000081e+00	0.995400	false	1.00000000
149	ainf_export_1779169173.31.json	0.000000	100	4.000156e+00	0.995600	false	1.00000000
150	ainf_export_1779169184.12.json	0.000000	100	4.000287e+00	0.995600	false	1.00000000
151	ainf_export_1779169194.85.json	0.000000	100	4.000511e+00	0.002300	true	0.63568750
152	ainf_export_1779169205.54.json	0.000000	100	4.000209e+00	0.996800	true	1.57310000
153	ainf_export_1779169216.22.json	0.000000	100	4.000078e+00	0.997200	false	1.00000000
154	ainf_export_1779169528.49.json	0.000000	100	4.000031e+00	0.998400	false	1.00000000
155	ainf_export_1779169540.80.json	0.000000	100	4.000029e+00	0.995000	false	1.00000000
